ratio,trial,C,s,val-acc,val-f,test-acc,test-f
0.0,7.0,0.008,0.0,0.8087318087318087,0.4177215189873418,0.7904564315352697,0.4093567251461988
0.0,7.0,0.008,0.5,0.7858627858627859,0.29931972789115646,0.7531120331950207,0.1904761904761905
0.0,7.0,0.0016,-1.0,0.7588357588357588,0.10769230769230768,0.7551867219917012,0.16901408450704228
0.0,7.0,0.0016,0.0,0.7463617463617463,0.01612903225806452,0.7302904564315352,0.0
0.0,7.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,8.0,625.0,-1.0,0.7879417879417879,0.5984251968503937,0.7842323651452282,0.5517241379310345
0.0,8.0,625.0,0.0,0.814968814968815,0.6590038314176245,0.8008298755186722,0.5862068965517242
0.0,8.0,625.0,0.5,0.8212058212058212,0.6446280991735537,0.8091286307053942,0.5779816513761468
0.0,8.0,125.0,-1.0,0.8024948024948025,0.6332046332046333,0.7780082987551867,0.5327510917030568
0.0,8.0,125.0,0.0,0.814968814968815,0.6590038314176245,0.8008298755186722,0.5862068965517242
0.0,8.0,125.0,0.5,0.8212058212058212,0.6446280991735537,0.8091286307053942,0.5779816513761468
0.0,8.0,25.0,-1.0,0.7941787941787942,0.6086956521739131,0.7863070539419087,0.5339366515837104
0.0,8.0,25.0,0.0,0.814968814968815,0.6590038314176245,0.8008298755186722,0.5862068965517242
0.0,8.0,25.0,0.5,0.8212058212058212,0.6446280991735537,0.8091286307053942,0.5779816513761468
0.0,8.0,5.0,-1.0,0.8024948024948025,0.6303501945525293,0.7904564315352697,0.5627705627705627
0.0,8.0,5.0,0.0,0.8128898128898129,0.6484375,0.8195020746887967,0.5953488372093023
0.0,8.0,5.0,0.5,0.8253638253638254,0.6692913385826772,0.8174273858921162,0.5849056603773585
0.0,8.0,1.0,-1.0,0.8108108108108109,0.6403162055335969,0.7904564315352697,0.5511111111111111
0.0,8.0,1.0,0.0,0.7962577962577962,0.6141732283464567,0.8112033195020747,0.5844748858447489
0.0,8.0,1.0,0.5,0.8232848232848233,0.6718146718146718,0.8153526970954357,0.5936073059360731
0.0,8.0,0.2,-1.0,0.8108108108108109,0.6374501992031871,0.7946058091286307,0.5520361990950226
0.0,8.0,0.2,0.0,0.817047817047817,0.648,0.8153526970954357,0.5781990521327014
0.0,8.0,0.2,0.5,0.817047817047817,0.648,0.8174273858921162,0.6
0.0,8.0,0.04,-1.0,0.8108108108108109,0.609442060085837,0.8153526970954357,0.5741626794258373
0.0,8.0,0.04,0.0,0.7837837837837838,0.543859649122807,0.8112033195020747,0.5517241379310346
0.0,8.0,0.04,0.5,0.7837837837837838,0.5315315315315314,0.8195020746887967,0.5538461538461538
0.0,8.0,0.008,-1.0,0.7983367983367984,0.5529953917050691,0.8236514522821576,0.5595854922279793
0.0,8.0,0.008,0.0,0.8024948024948025,0.48648648648648657,0.7966804979253111,0.3717948717948718
0.0,8.0,0.008,0.5,0.7505197505197505,0.2,0.7593360995850622,0.12121212121212119
0.0,8.0,0.0016,-1.0,0.7671517671517671,0.2631578947368421,0.7883817427385892,0.2916666666666667
0.0,8.0,0.0016,0.0,0.7318087318087318,0.0,0.7551867219917012,0.016666666666666666
0.0,8.0,0.0016,0.5,0.7318087318087318,0.0,0.7551867219917012,0.0
0.0,9.0,625.0,-1.0,0.7900207900207901,0.5877551020408163,0.8319502074688797,0.6610878661087867
0.0,9.0,625.0,0.0,0.7920997920997921,0.5689655172413793,0.8215767634854771,0.6324786324786326
0.0,9.0,625.0,0.5,0.8108108108108109,0.6026200873362445,0.8319502074688797,0.6367713004484306
0.0,9.0,125.0,-1.0,0.7900207900207901,0.5877551020408163,0.8319502074688797,0.6610878661087867
0.0,9.0,125.0,0.0,0.7920997920997921,0.5689655172413793,0.8215767634854771,0.6324786324786326
0.0,9.0,125.0,0.5,0.8108108108108109,0.6026200873362445,0.8319502074688797,0.6367713004484306
0.0,9.0,25.0,-1.0,0.7900207900207901,0.5809128630705395,0.8215767634854771,0.635593220338983
0.0,9.0,25.0,0.0,0.7920997920997921,0.5689655172413793,0.8215767634854771,0.6324786324786326
0.0,9.0,25.0,0.5,0.8108108108108109,0.6026200873362445,0.8319502074688797,0.6367713004484306
0.0,9.0,5.0,-1.0,0.7962577962577962,0.5882352941176471,0.8257261410788381,0.65
0.0,9.0,5.0,0.0,0.7920997920997921,0.5689655172413793,0.8215767634854771,0.6324786324786326
0.0,9.0,5.0,0.5,0.8108108108108109,0.6026200873362445,0.8319502074688797,0.6367713004484306
0.0,9.0,1.0,-1.0,0.7900207900207901,0.5809128630705395,0.8049792531120332,0.591304347826087
0.0,9.0,1.0,0.0,0.8066528066528067,0.5938864628820961,0.8215767634854771,0.6160714285714285
0.0,9.0,1.0,0.5,0.8024948024948025,0.5851528384279476,0.8112033195020747,0.6127659574468085
0.0,9.0,0.2,-1.0,0.7920997920997921,0.5833333333333334,0.8153526970954357,0.6147186147186148
0.0,9.0,0.2,0.0,0.8024948024948025,0.5887445887445888,0.8278008298755186,0.6278026905829597
0.0,9.0,0.2,0.5,0.8045738045738046,0.5727272727272726,0.8153526970954357,0.5972850678733033
0.0,9.0,0.04,-1.0,0.8024948024948025,0.5662100456621004,0.8298755186721992,0.6371681415929203
0.0,9.0,0.04,0.0,0.8087318087318087,0.5576923076923077,0.8029045643153527,0.5662100456621005
0.0,9.0,0.04,0.5,0.817047817047817,0.580952380952381,0.8257261410788381,0.6111111111111112
0.0,9.0,0.008,-1.0,0.8212058212058212,0.5656565656565656,0.8298755186721992,0.5980392156862744
0.0,9.0,0.008,0.0,0.7920997920997921,0.3421052631578947,0.7904564315352697,0.34838709677419355
0.0,9.0,0.008,0.5,0.7463617463617463,0.11594202898550725,0.7448132780082988,0.061068702290076333
0.0,9.0,0.0016,-1.0,0.7941787941787942,0.326530612244898,0.7821576763485477,0.2553191489361702
0.0,9.0,0.0016,0.0,0.7484407484407485,0.0,0.7510373443983402,0.0
0.0,9.0,0.0016,0.5,0.7484407484407485,0.0,0.7510373443983402,0.0
0.0,10.0,625.0,-1.0,0.8108108108108109,0.6566037735849057,0.8195020746887967,0.6506024096385542
