ratio,trial,C,val-acc,val-f,test-acc,test-f
0.0,11.0,25.0,0.8024691358024691,0.7948717948717948,0.8148148148148148,0.7887323943661971
0.0,11.0,5.0,0.8024691358024691,0.7894736842105263,0.8148148148148148,0.7887323943661971
0.0,11.0,1.0,0.7901234567901234,0.767123287671233,0.8395061728395061,0.8115942028985507
0.0,11.0,0.2,0.7901234567901234,0.7733333333333334,0.8395061728395061,0.8059701492537314
0.0,11.0,0.04,0.8024691358024691,0.7714285714285716,0.8395061728395061,0.7999999999999999
0.0,11.0,0.008,0.8271604938271605,0.8,0.8271604938271605,0.78125
0.0,11.0,0.0016,0.5308641975308642,0.05,0.5925925925925926,0.05714285714285715
0.0,12.0,625.0,0.8518518518518519,0.8333333333333334,0.7777777777777778,0.7500000000000001
0.0,12.0,125.0,0.8518518518518519,0.8333333333333334,0.7777777777777778,0.7500000000000001
0.0,12.0,25.0,0.8518518518518519,0.8333333333333334,0.7777777777777778,0.7500000000000001
0.0,12.0,5.0,0.8641975308641975,0.8450704225352113,0.7901234567901234,0.7605633802816902
0.0,12.0,1.0,0.8518518518518519,0.8333333333333334,0.7901234567901234,0.7605633802816902
0.0,12.0,0.2,0.8024691358024691,0.7837837837837838,0.7654320987654321,0.7246376811594204
0.0,12.0,0.04,0.8395061728395061,0.8219178082191781,0.7901234567901234,0.7536231884057971
0.0,12.0,0.008,0.9135802469135802,0.8985507246376812,0.8024691358024691,0.7575757575757577
0.0,12.0,0.0016,0.5555555555555556,0.0,0.5185185185185185,0.0
0.0,13.0,625.0,0.7777777777777778,0.7272727272727273,0.8271604938271605,0.8205128205128205
0.0,13.0,125.0,0.7777777777777778,0.7272727272727273,0.8271604938271605,0.8205128205128205
0.0,13.0,25.0,0.7777777777777778,0.7272727272727273,0.8271604938271605,0.825
0.0,13.0,5.0,0.7407407407407407,0.6666666666666667,0.8148148148148148,0.8148148148148148
0.0,13.0,1.0,0.7654320987654321,0.716417910447761,0.8271604938271605,0.8205128205128205
0.0,13.0,0.2,0.8148148148148148,0.7619047619047619,0.8271604938271605,0.8205128205128205
0.0,13.0,0.04,0.8395061728395061,0.7868852459016394,0.8148148148148148,0.805194805194805
0.0,13.0,0.008,0.8641975308641975,0.8135593220338982,0.8518518518518519,0.8461538461538461
0.0,13.0,0.0016,0.654320987654321,0.06666666666666667,0.49382716049382713,0.046511627906976744
0.0,14.0,625.0,0.8518518518518519,0.8064516129032258,0.7654320987654321,0.7654320987654322
0.0,14.0,125.0,0.8518518518518519,0.8064516129032258,0.7654320987654321,0.7654320987654322
0.0,14.0,25.0,0.8518518518518519,0.8064516129032258,0.7654320987654321,0.7654320987654322
0.0,14.0,5.0,0.8395061728395061,0.7936507936507937,0.7777777777777778,0.7749999999999999
0.0,14.0,1.0,0.8271604938271605,0.7812500000000001,0.7777777777777778,0.7631578947368421
0.0,14.0,0.2,0.8395061728395061,0.7936507936507937,0.7777777777777778,0.7631578947368421
0.0,14.0,0.04,0.8395061728395061,0.7868852459016394,0.7901234567901234,0.7733333333333334
0.0,14.0,0.008,0.8641975308641975,0.8070175438596492,0.8148148148148148,0.7887323943661972
0.0,14.0,0.0016,0.6790123456790124,0.1875,0.5308641975308642,0.13636363636363635
0.0,15.0,625.0,0.7901234567901234,0.8045977011494252,0.7530864197530864,0.6875
0.0,15.0,125.0,0.7901234567901234,0.8045977011494252,0.7530864197530864,0.6875
0.0,15.0,25.0,0.7901234567901234,0.8045977011494252,0.7530864197530864,0.6875
