ratio,trial,C,val-acc,val-f,test-acc,test-f
0.0,9.0,0.0016,0.6652173913043479,0.7989556135770236,0.6363636363636364,0.7777777777777778
0.0,10.0,625.0,0.7739130434782608,0.8395061728395061,0.7489177489177489,0.8231707317073171
0.0,10.0,125.0,0.7739130434782608,0.8395061728395061,0.7489177489177489,0.8231707317073171
0.0,10.0,25.0,0.7739130434782608,0.8395061728395061,0.7489177489177489,0.8231707317073171
0.0,10.0,5.0,0.7782608695652173,0.8430769230769231,0.7445887445887446,0.8206686930091186
0.0,10.0,1.0,0.7782608695652173,0.8430769230769231,0.7445887445887446,0.8206686930091186
0.0,10.0,0.2,0.7782608695652173,0.8430769230769231,0.7445887445887446,0.8206686930091186
0.0,10.0,0.04,0.7521739130434782,0.8298507462686568,0.7316017316017316,0.8176470588235293
0.0,10.0,0.008,0.6521739130434783,0.786096256684492,0.645021645021645,0.7795698924731183
0.0,10.0,0.0016,0.6391304347826087,0.779840848806366,0.6320346320346321,0.7745358090185676
0.0,11.0,625.0,0.717391304347826,0.792332268370607,0.7705627705627706,0.8273615635179153
0.0,11.0,125.0,0.717391304347826,0.792332268370607,0.7705627705627706,0.8273615635179153
0.0,11.0,25.0,0.717391304347826,0.792332268370607,0.7705627705627706,0.8273615635179153
0.0,11.0,5.0,0.7217391304347827,0.7974683544303799,0.7662337662337663,0.8246753246753247
0.0,11.0,1.0,0.7217391304347827,0.7974683544303799,0.7662337662337663,0.8246753246753247
0.0,11.0,0.2,0.7304347826086957,0.8050314465408805,0.7835497835497836,0.8366013071895425
0.0,11.0,0.04,0.7478260869565218,0.8198757763975154,0.7705627705627706,0.8295819935691319
0.0,11.0,0.008,0.717391304347826,0.8071216617210681,0.7965367965367965,0.8588588588588589
0.0,11.0,0.0016,0.6347826086956522,0.7765957446808511,0.658008658008658,0.7937336814621411
0.0,12.0,625.0,0.7521739130434782,0.8246153846153845,0.7922077922077922,0.8490566037735848
0.0,12.0,125.0,0.7521739130434782,0.8246153846153845,0.7922077922077922,0.8490566037735848
0.0,12.0,25.0,0.7521739130434782,0.8246153846153845,0.7922077922077922,0.8490566037735848
0.0,12.0,5.0,0.7521739130434782,0.8246153846153845,0.7922077922077922,0.8490566037735848
0.0,12.0,1.0,0.7565217391304347,0.8282208588957055,0.7922077922077922,0.8490566037735848
