ratio,trial,nu,val-acc,val-f,test-acc,test-f
0.0,7.0,0.425,0.6601941747572816,0.631578947368421,0.7019230769230769,0.686868686868687
0.0,7.0,0.34375,0.6699029126213593,0.6458333333333333,0.7211538461538461,0.707070707070707
0.0,7.0,0.26249999999999996,0.6504854368932039,0.6399999999999999,0.7019230769230769,0.693069306930693
0.0,7.0,0.18125000000000002,0.6601941747572816,0.6601941747572816,0.6923076923076923,0.6862745098039217
0.0,7.0,0.1,0.6407766990291263,0.6262626262626263,0.6057692307692307,0.5858585858585859
0.0,8.0,0.75,0.5436893203883495,0.47191011235955055,0.6538461538461539,0.5384615384615384
0.0,8.0,0.66875,0.5436893203883495,0.25396825396825395,0.6538461538461539,0.4
0.0,8.0,0.5875,0.5825242718446602,0.5168539325842696,0.6442307692307693,0.5542168674698795
0.0,8.0,0.50625,0.5825242718446602,0.5274725274725275,0.6538461538461539,0.5384615384615384
0.0,8.0,0.425,0.6116504854368932,0.4871794871794871,0.6923076923076923,0.5428571428571428
0.0,8.0,0.34375,0.6504854368932039,0.6170212765957447,0.6538461538461539,0.5384615384615384
0.0,8.0,0.26249999999999996,0.6407766990291263,0.6021505376344086,0.625,0.5063291139240507
0.0,8.0,0.18125000000000002,0.6116504854368932,0.5918367346938777,0.6442307692307693,0.5316455696202531
0.0,8.0,0.1,0.5631067961165048,0.5360824742268041,0.6442307692307693,0.5747126436781609
0.0,9.0,0.75,0.6407766990291263,0.4931506849315069,0.7403846153846154,0.5573770491803278
0.0,9.0,0.66875,0.6407766990291263,0.41269841269841273,0.7115384615384616,0.48275862068965514
0.0,9.0,0.5875,0.6310679611650486,0.5128205128205129,0.7403846153846154,0.5970149253731344
0.0,9.0,0.50625,0.6504854368932039,0.5714285714285714,0.6923076923076923,0.5428571428571428
0.0,9.0,0.425,0.6699029126213593,0.5853658536585366,0.7115384615384616,0.5588235294117647
0.0,9.0,0.34375,0.6699029126213593,0.5952380952380952,0.7115384615384616,0.5833333333333334
0.0,9.0,0.26249999999999996,0.6601941747572816,0.5977011494252873,0.7019230769230769,0.5974025974025974
0.0,9.0,0.18125000000000002,0.6699029126213593,0.5952380952380952,0.7692307692307693,0.6571428571428571
0.0,9.0,0.1,0.6407766990291263,0.6185567010309277,0.6346153846153846,0.5681818181818182
0.0,10.0,0.75,0.6019417475728155,0.3692307692307692,0.6153846153846154,0.4594594594594595
0.0,10.0,0.66875,0.5922330097087378,0.3225806451612903,0.625,0.48000000000000004
0.0,10.0,0.5875,0.6310679611650486,0.24,0.5480769230769231,0.17543859649122806
0.0,10.0,0.50625,0.6019417475728155,0.34920634920634924,0.6346153846153846,0.4864864864864865
0.0,10.0,0.425,0.6407766990291263,0.463768115942029,0.6730769230769231,0.5853658536585367
0.0,10.0,0.34375,0.6407766990291263,0.463768115942029,0.7019230769230769,0.617283950617284
0.0,10.0,0.26249999999999996,0.6116504854368932,0.48717948717948717,0.7115384615384616,0.6666666666666666
0.0,10.0,0.18125000000000002,0.3883495145631068,0.3368421052631579,0.3557692307692308,0.30927835051546393
0.0,10.0,0.1,0.4368932038834951,0.3695652173913044,0.38461538461538464,0.2888888888888889
0.0,11.0,0.75,0.6310679611650486,0.3448275862068965,0.6057692307692307,0.2545454545454546
0.0,11.0,0.66875,0.6116504854368932,0.25925925925925924,0.5961538461538461,0.22222222222222218
0.0,11.0,0.5875,0.6310679611650486,0.2962962962962963,0.6057692307692307,0.2545454545454546
0.0,11.0,0.50625,0.5922330097087378,0.125,0.5769230769230769,0.12
0.0,11.0,0.425,0.7184466019417476,0.6506024096385543,0.6826923076923077,0.5925925925925927
0.0,11.0,0.34375,0.7184466019417476,0.6588235294117647,0.6730769230769231,0.5952380952380952
0.0,11.0,0.26249999999999996,0.7087378640776699,0.6341463414634148,0.7115384615384616,0.6341463414634146
0.0,11.0,0.18125000000000002,0.7087378640776699,0.6666666666666666,0.6923076923076923,0.6595744680851064
0.0,11.0,0.1,0.6310679611650486,0.62,0.6634615384615384,0.6601941747572816
0.0,12.0,0.75,0.6116504854368932,0.2857142857142857,0.6826923076923077,0.3773584905660377
0.0,12.0,0.66875,0.7184466019417476,0.6233766233766234,0.7307692307692307,0.611111111111111
0.0,12.0,0.5875,0.7087378640776699,0.5833333333333334,0.7403846153846154,0.619718309859155
0.0,12.0,0.50625,0.6893203883495146,0.5675675675675675,0.7403846153846154,0.64
0.0,12.0,0.425,0.6699029126213593,0.5641025641025642,0.75,0.675
0.0,12.0,0.34375,0.6310679611650486,0.5128205128205129,0.7596153846153846,0.6753246753246753
0.0,12.0,0.26249999999999996,0.6504854368932039,0.5813953488372093,0.6826923076923077,0.6117647058823529
0.0,12.0,0.18125000000000002,0.6699029126213593,0.5952380952380952,0.7115384615384616,0.6341463414634145
0.0,12.0,0.1,0.6796116504854369,0.5925925925925927,0.6730769230769231,0.6046511627906976
0.0,13.0,0.75,0.6699029126213593,0.37037037037037035,0.625,0.4347826086956521
0.0,13.0,0.66875,0.6601941747572816,0.22222222222222224,0.5865384615384616,0.29508196721311475
0.0,13.0,0.5875,0.7281553398058253,0.5483870967741936,0.6826923076923077,0.5925925925925926
0.0,13.0,0.50625,0.7184466019417476,0.5245901639344263,0.7115384615384616,0.625
0.0,13.0,0.425,0.7184466019417476,0.5396825396825397,0.7211538461538461,0.6588235294117648
0.0,13.0,0.34375,0.44660194174757284,0.3294117647058824,0.4807692307692308,0.4489795918367347
0.0,13.0,0.26249999999999996,0.3786407766990291,0.30434782608695654,0.4230769230769231,0.4117647058823529
0.0,13.0,0.18125000000000002,0.3786407766990291,0.3469387755102041,0.38461538461538464,0.39622641509433965
0.0,13.0,0.1,0.3592233009708738,0.2826086956521739,0.41346153846153844,0.3440860215053763
0.0,14.0,0.75,0.6310679611650486,0.3870967741935484,0.6442307692307693,0.4307692307692308
0.0,14.0,0.66875,0.6116504854368932,0.28571428571428575,0.625,0.31578947368421056
0.0,14.0,0.5875,0.6796116504854369,0.547945205479452,0.6442307692307693,0.5066666666666667
0.0,14.0,0.50625,0.6796116504854369,0.611764705882353,0.6346153846153846,0.525
0.0,14.0,0.425,0.7087378640776699,0.6153846153846153,0.6538461538461539,0.5263157894736842
0.0,14.0,0.34375,0.6893203883495146,0.6190476190476191,0.6634615384615384,0.5679012345679012
0.0,14.0,0.26249999999999996,0.6504854368932039,0.6326530612244898,0.6538461538461539,0.6086956521739131
0.0,14.0,0.18125000000000002,0.7184466019417476,0.6881720430107526,0.6538461538461539,0.6086956521739131
0.0,14.0,0.1,0.4368932038834951,0.3958333333333333,0.46153846153846156,0.4042553191489362
